confidence_min,duplicate_threshold,window_size,window_step_percent,x_intersection_allowed,inner_sliding_window,intersect,crop,complex_nn,vary_lines,make_lines,bbox_precision,bbox_recall,bbox_fscore,avg_iou,class_precision,class_recall,class_fscore
0.635,0.135,1100,0.3,1,False,False,False,True,False,True,0.9672406551868963,0.8883317261330762,0.9261083743842364,0.7499248170623852,0.8331113783676549,0.8228397742075554,0.8239770500169982
0.635,0.14,1100,0.3,1,False,False,False,True,False,True,0.9672475330673945,0.8885245901639345,0.926216324889425,0.7499044844411231,0.8329623985231998,0.8226611677881485,0.8237977193107708
0.635,0.145,1100,0.3,1,False,False,False,True,False,True,0.9670445004198153,0.8885245901639345,0.9261232284651723,0.749886323241907,0.8329623985231998,0.8226611677881485,0.8237977193107708
0.64,0.125,1100,0.3,1,False,False,False,True,False,True,0.9677078936260025,0.8842815814850531,0.9241156908193088,0.7502919063957886,0.8342087737866417,0.8239912758996728,0.82515784609232
0.64,0.13,1100,0.3,1,False,False,False,True,False,True,0.9677283273570977,0.8848601735776278,0.9244408623816239,0.7502714167745186,0.8340648243280864,0.8238884045335658,0.8250501408676332
0.64,0.135,1100,0.3,1,False,False,False,True,False,True,0.9675721204464097,0.8862102217936355,0.9251056976041876,0.7501372906670245,0.8342146552259753,0.8239390642002177,0.8251251306214527
0.64,0.14,1100,0.3,1,False,False,False,True,False,True,0.9675721204464097,0.8862102217936355,0.9251056976041876,0.7501307512952513,0.8342146552259753,0.8239390642002177,0.8251251306214527
0.64,0.145,1100,0.3,1,False,False,False,True,False,True,0.9673684210526315,0.8862102217936355,0.9250125817815802,0.750112542667441,0.8342146552259753,0.8239390642002177,0.8251251306214527
0.62,0.125,1100,0.3,1.1,False,False,False,True,False,True,0.9651793160967473,0.8927675988428159,0.9275623685001503,0.7493969925729211,0.8309473250553427,0.8211276733635774,0.8221453195920265
0.62,0.13,1100,0.3,1.1,False,False,False,True,False,True,0.9652155800874818,0.893731918997107,0.9280993390747045,0.7493496126840544,0.8306943953398166,0.8208890807078119,0.8219002390509592
